,TimeStamp,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Cloud,Weather Description Main,Rain (1h)
0,2024-01-01 00:00:00,292.15,292.12,1017,77,1.77,74,Clouds,0.0
1,2024-01-01 01:00:00,293.15,293.14,1018,74,2.03,100,Clouds,0.0
2,2024-01-01 02:00:00,294.15,294.13,1019,70,2.24,100,Clouds,0.0
3,2024-01-01 03:00:00,297.15,297.36,1019,67,2.04,100,Clouds,0.0
4,2024-01-01 04:00:00,299.15,299.15,1018,63,2.01,100,Clouds,0.0
5,2024-01-01 05:00:00,299.15,299.15,1017,56,2.42,98,Clouds,0.0
6,2024-01-01 06:00:00,300.15,300.82,1015,54,2.16,96,Clouds,0.0
7,2024-01-01 07:00:00,300.15,300.75,1014,53,2.46,87,Clouds,0.0
8,2024-01-01 08:00:00,300.15,300.89,1014,55,3.4,93,Clouds,0.0
9,2024-01-01 09:00:00,300.15,301.23,1014,60,1.71,100,Clouds,0.0
10,2024-01-01 10:00:00,299.15,299.15,1014,58,4.3,89,Clouds,0.0
11,2024-01-01 11:00:00,298.15,298.3,1015,61,5.1,79,Clouds,0.0
12,2024-01-01 12:00:00,296.15,296.28,1016,68,4.45,66,Clouds,0.0
13,2024-01-01 13:00:00,296.15,296.44,1017,74,3.45,3,Clear,0.0
14,2024-01-01 14:00:00,295.15,295.63,1017,85,2.99,17,Clouds,0.0
15,2024-01-01 15:00:00,295.15,295.7,1017,88,2.56,27,Clouds,0.0
16,2024-01-01 16:00:00,295.15,295.68,1017,87,2.56,41,Clouds,0.0
17,2024-01-01 17:00:00,295.15,295.65,1017,86,2.67,52,Clouds,0.0
18,2024-01-01 18:00:00,295.15,295.68,1016,87,2.65,60,Clouds,0.0
19,2024-01-01 19:00:00,295.15,295.7,1016,88,2.66,100,Clouds,0.0
20,2024-01-01 20:00:00,294.15,294.63,1015,89,2.74,100,Clouds,0.0
21,2024-01-01 21:00:00,294.15,294.63,1015,89,2.88,100,Clouds,0.0
22,2024-01-01 22:00:00,294.15,294.63,1015,89,2.98,100,Clouds,0.0
23,2024-01-01 23:00:00,294.15,294.63,1015,89,2.93,100,Clouds,0.0
24,2024-01-02 00:00:00,294.15,294.63,1016,89,2.58,99,Clouds,0.0
25,2024-01-02 01:00:00,294.15,294.52,1016,85,2.93,80,Clouds,0.0
26,2024-01-02 02:00:00,295.15,295.39,1017,76,3.36,74,Clouds,0.0
27,2024-01-02 03:00:00,296.15,296.26,1017,67,3.7,65,Clouds,0.0
28,2024-01-02 04:00:00,298.15,298.38,1017,64,3.97,66,Clouds,0.0
29,2024-01-02 05:00:00,298.15,298.3,1015,61,4.35,70,Clouds,0.0
30,2024-01-02 06:00:00,300.15,301.09,1014,58,4.19,74,Clouds,0.0
31,2024-01-02 07:00:00,299.15,299.15,1013,54,4.4,91,Clouds,0.0
32,2024-01-02 08:00:00,300.15,300.95,1012,56,4.94,95,Clouds,0.0
33,2024-01-02 09:00:00,300.15,301.3,1012,61,5.21,97,Clouds,0.0
34,2024-01-02 10:00:00,299.15,299.15,1013,71,5.42,64,Clouds,0.0
35,2024-01-02 11:00:00,298.15,298.69,1014,76,4.64,51,Clouds,0.0
36,2024-01-02 12:00:00,298.15,298.74,1015,78,4.48,46,Clouds,0.0
37,2024-01-02 13:00:00,297.15,297.77,1016,83,4.35,3,Clear,0.0
38,2024-01-02 14:00:00,296.15,296.75,1016,86,3.98,8,Clear,0.0
39,2024-01-02 15:00:00,295.15,295.7,1017,88,3.61,15,Clouds,0.0
40,2024-01-02 16:00:00,295.15,295.7,1017,88,3.38,24,Clouds,0.0
41,2024-01-02 17:00:00,295.15,295.7,1017,88,3.34,34,Clouds,0.0
42,2024-01-02 18:00:00,295.15,295.76,1017,90,2.9,15,Clouds,0.0
43,2024-01-02 19:00:00,294.15,294.66,1017,90,2.18,69,Clouds,0.0
44,2024-01-02 20:00:00,294.15,294.71,1017,92,2.76,56,Clouds,0.0
45,2024-01-02 21:00:00,294.15,294.6,1017,88,4.12,70,Clouds,0.0
46,2024-01-02 22:00:00,294.15,294.42,1017,81,5.74,78,Clouds,0.0
47,2024-01-02 23:00:00,293.15,293.22,1018,77,6.48,82,Clouds,0.0
48,2024-01-03 00:00:00,292.15,292.04,1019,74,6.37,81,Clouds,0.0
49,2024-01-03 01:00:00,291.15,290.89,1020,72,5.9,100,Clouds,0.0
50,2024-01-03 02:00:00,292.15,291.99,1022,72,5.64,100,Clouds,0.0
51,2024-01-03 03:00:00,291.15,290.86,1022,71,5.54,100,Clouds,0.0
52,2024-01-03 04:00:00,290.15,289.73,1022,70,5.46,100,Clouds,0.0
53,2024-01-03 05:00:00,291.15,290.83,1021,70,5.31,100,Clouds,0.0
54,2024-01-03 06:00:00,292.15,291.78,1020,64,5.11,99,Clouds,0.0
55,2024-01-03 07:00:00,293.15,292.88,1019,64,4.71,99,Clouds,0.0
56,2024-01-03 08:00:00,293.15,292.88,1019,64,4.4,100,Clouds,0.0
57,2024-01-03 09:00:00,294.15,293.95,1019,63,3.79,100,Clouds,0.0
58,2024-01-03 10:00:00,293.15,292.85,1019,63,2.99,100,Clouds,0.0
59,2024-01-03 11:00:00,293.15,292.88,1020,64,1.82,100,Clouds,0.0
60,2024-01-03 12:00:00,292.15,291.78,1020,64,2.18,99,Clouds,0.0
61,2024-01-03 13:00:00,292.15,291.8,1020,65,1.66,100,Clouds,0.0
62,2024-01-03 14:00:00,292.15,291.8,1020,65,1.43,100,Clouds,0.0
63,2024-01-03 15:00:00,292.15,291.83,1021,66,1.04,100,Clouds,0.0
64,2024-01-03 16:00:00,292.15,291.83,1020,66,0.6,100,Clouds,0.0
65,2024-01-03 17:00:00,291.15,290.73,1020,66,0.74,100,Clouds,0.0
66,2024-01-03 18:00:00,291.15,290.78,1019,68,1.26,100,Clouds,0.0
67,2024-01-03 19:00:00,291.15,290.81,1018,69,1.25,100,Clouds,0.0
68,2024-01-03 20:00:00,291.15,290.81,1018,69,1.32,100,Clouds,0.0
69,2024-01-03 21:00:00,291.15,290.83,1018,70,1.33,100,Clouds,0.0
70,2024-01-03 22:00:00,291.15,290.86,1018,71,1.18,100,Clouds,0.0
71,2024-01-03 23:00:00,290.15,289.76,1019,71,1.0,100,Clouds,0.0
72,2024-01-04 00:00:00,291.15,290.81,1020,69,1.2,100,Clouds,0.0
73,2024-01-04 01:00:00,291.15,290.78,1020,68,1.6,100,Clouds,0.0
74,2024-01-04 02:00:00,292.15,291.8,1021,65,1.97,100,Clouds,0.0
75,2024-01-04 03:00:00,292.15,291.75,1021,63,2.61,99,Clouds,0.0
76,2024-01-04 04:00:00,293.15,292.8,1020,61,3.03,99,Clouds,0.0
77,2024-01-04 05:00:00,293.15,292.85,1019,63,2.75,100,Clouds,0.0
78,2024-01-04 06:00:00,294.15,293.69,1017,53,3.06,92,Clouds,0.0
79,2024-01-04 07:00:00,294.15,293.64,1016,51,4.19,93,Clouds,0.0
80,2024-01-04 08:00:00,294.15,293.72,1016,54,3.46,99,Clouds,0.0
81,2024-01-04 09:00:00,293.15,292.69,1016,57,3.98,97,Clouds,0.0
82,2024-01-04 10:00:00,293.15,292.8,1016,61,3.9,96,Clouds,0.0
83,2024-01-04 11:00:00,293.15,292.96,1016,67,4.88,96,Clouds,0.0
84,2024-01-04 12:00:00,293.15,293.09,1018,72,3.95,90,Clouds,0.0
85,2024-01-04 13:00:00,293.15,293.19,1018,76,3.48,85,Clouds,0.0
86,2024-01-04 14:00:00,293.15,293.24,1018,78,3.46,82,Clouds,0.0
87,2024-01-04 15:00:00,293.15,293.29,1018,80,3.06,74,Clouds,0.0
88,2024-01-04 16:00:00,293.15,293.32,1018,81,2.82,76,Clouds,0.0
89,2024-01-04 17:00:00,293.15,293.35,1017,82,2.19,97,Clouds,0.0
90,2024-01-04 18:00:00,293.15,293.29,1017,80,2.26,73,Clouds,0.0
91,2024-01-04 19:00:00,293.15,293.29,1016,80,2.07,99,Clouds,0.0
92,2024-01-04 20:00:00,292.15,292.19,1016,80,1.97,99,Clouds,0.0
93,2024-01-04 21:00:00,292.15,292.19,1016,80,1.86,99,Clouds,0.0
94,2024-01-04 22:00:00,291.15,291.09,1017,80,1.84,100,Clouds,0.0
95,2024-01-04 23:00:00,291.15,291.12,1017,81,1.61,100,Clouds,0.0
96,2024-01-05 00:00:00,291.15,291.12,1018,81,1.36,99,Clouds,0.0
97,2024-01-05 01:00:00,292.15,292.17,1019,79,1.57,100,Clouds,0.0
98,2024-01-05 02:00:00,292.15,292.14,1019,78,1.76,100,Clouds,0.0
99,2024-01-05 03:00:00,293.15,293.22,1019,77,1.69,100,Clouds,0.0
100,2024-01-05 04:00:00,293.15,293.16,1019,75,1.52,100,Clouds,0.0
101,2024-01-05 05:00:00,294.15,294.19,1018,72,1.2,100,Clouds,0.0
102,2024-01-05 06:00:00,294.15,294.08,1016,68,1.93,100,Clouds,0.0
103,2024-01-05 07:00:00,296.15,296.12,1015,62,2.9,100,Clouds,0.0
104,2024-01-05 08:00:00,296.15,296.05,1015,59,3.47,98,Clouds,0.0
105,2024-01-05 09:00:00,296.15,296.05,1015,59,3.64,99,Clouds,0.0
106,2024-01-05 10:00:00,296.15,296.12,1016,62,3.46,99,Clouds,0.0
107,2024-01-05 11:00:00,294.15,294.08,1016,68,3.4,99,Clouds,0.0
108,2024-01-05 12:00:00,293.15,292.88,1017,64,3.72,99,Clouds,0.0
109,2024-01-05 13:00:00,293.15,293.09,1018,72,3.77,100,Clouds,0.0
110,2024-01-05 14:00:00,294.15,294.32,1018,77,3.83,100,Clouds,0.0
111,2024-01-05 15:00:00,293.15,293.29,1018,80,3.59,100,Clouds,0.0
112,2024-01-05 16:00:00,293.15,293.35,1018,82,3.18,100,Clouds,0.0
113,2024-01-05 17:00:00,293.15,293.4,1018,84,3.12,100,Clouds,0.0
114,2024-01-05 18:00:00,294.15,294.45,1018,82,2.31,94,Clouds,0.0
115,2024-01-05 19:00:00,294.15,294.42,1017,81,2.21,100,Clouds,0.0
116,2024-01-05 20:00:00,293.15,293.27,1017,79,2.15,100,Clouds,0.0
117,2024-01-05 21:00:00,293.15,293.27,1017,79,2.54,100,Clouds,0.0
118,2024-01-05 22:00:00,293.15,293.27,1017,79,2.8,100,Clouds,0.0
119,2024-01-05 23:00:00,293.15,293.27,1018,79,3.05,100,Clouds,0.0
